...1,ISO,year,Value,Module,Policy,Broad Category,Market_non_market,Buildingblock,PriorityArea_new,Policy_new,Policytype_detail_new,Policytype,Policy_name_fig_1,Policy_name_fig_2_3,Policy_name_fig_4,Cluster_categories,Policy Name (our short framing),prev_value,introduction,jump,intensification,intensification_jump,is_price,is_subsidy,is_standard,is_reg,priceintro,regintro,subsidyintro,standardintro,price,reg,subsidy,standard,state,first_price_year,first_reg_year,path_group,path
7,ARG,1996,0,Buildings,Ban and phase out of fossil-fuel heating systems,Ban,Non-market,Sectoral,Buildings,Bans and Phaseouts Fossil Fuels Heating,Technology Standards,NMBI,Ban & phase out (fossil heatings),Ban & phase out,Ban & phase out,Regulation,Ban & phase out of fossil heatings,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,none,NA,2002,reg_only,none
41,ARG,1996,0,Buildings,Building energy codes,Building code,Non-market,Sectoral,Buildings,BuildingEnergyCodes,Performance Standards,NMBI,Building code,Building code,Building code,Regulation,Building energy code,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,none,NA,2002,reg_only,none
75,ARG,1996,0,Buildings,Carbon tax - Buildings,Taxation,Market,Sectoral,Buildings,Carbon Tax Buildings,Carbon Pricing,MBI,Carbon tax,Carbon tax,Taxation,Pricing,Carbon tax,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,none,NA,2002,reg_only,none
109,ARG,1996,0,Buildings,Emissions trading schemes - Buildings,Taxation,Market,Sectoral,Buildings,ETS Buildings,Carbon Pricing,MBI,Emission trading scheme,Emission trading scheme,Taxation,Pricing,Emissions trading scheme,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,none,NA,2002,reg_only,none
143,ARG,1996,NA,Buildings,Financing mechanisms for energy efficiency - Buildings,Green subsidy,Market,Sectoral,Buildings,Financing Mechanism Buildings,Subsidy,MBI,Financing mechanism,Financing mechanism,Financing mechanism,Subsidy,Financing mechanism,NA,0,NA,0,NA,0,1,0,0,0,0,0,0,0,0,0,0,none,NA,2002,reg_only,none
177,ARG,1996,NA,Buildings,Fossil fuels excise taxes - Buildings,Taxation,Market,Sectoral,Buildings,Excise Taxes Buildings,Carbon Pricing,MBI,Fuel tax,Fuel tax,Taxation,Pricing,Fuel excise tax,NA,0,NA,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,none,NA,2002,reg_only,none
211,ARG,1996,NA,Buildings,Fossil fuels subsidies reform - Buildings,Fuel subsidy reform,Market,Sectoral,Buildings,Fossil Fuel Subsides Buildings,Carbon Pricing,MBI,Fossil fuel subsidy reform,Fossil fuel subsidy reform,Fossil fuel subsidy reform,Pricing,Fuel subsidy reform,NA,0,NA,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,none,NA,2002,reg_only,none
245,ARG,1996,0,Buildings,Mandatory labels for appliances,Label,Non-market,Sectoral,Buildings,Labels Appliances,Information,NMBI,Label (appliances),Label,Label,Information,Label,0,0,0,0,NA,0,0,1,0,0,0,0,0,0,0,0,0,none,NA,2002,reg_only,none
279,ARG,1996,0,Buildings,Minimum energy performance standards of appliances,Minimum energy performance standard,Non-market,Sectoral,Buildings,MEPS of appliances,Performance Standards,NMBI,Performance standard (appliances),Performance standard,Performance standard,Regulation,Minimum energy performance standard,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,none,NA,2002,reg_only,none
8,ARG,1997,0,Buildings,Ban and phase out of fossil-fuel heating systems,Ban,Non-market,Sectoral,Buildings,Bans and Phaseouts Fossil Fuels Heating,Technology Standards,NMBI,Ban & phase out (fossil heatings),Ban & phase out,Ban & phase out,Regulation,Ban & phase out of fossil heatings,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,none,NA,2002,reg_only,none
