ISO,Name,Classification
ARG,Argentina,UMICs
AUS,Australia,HICs
AUT,Austria,HICs
BEL,Belgium,HICs
BGR,Bulgaria,HICs
BRA,Brazil,UMICs
CAN,Canada,HICs
CHE,Switzerland,HICs
CHL,Chile,HICs
CHN,China ,UMICs
COL,Colombia,UMICs
CRI,Costa Rica,UMICs
CZE,Czechia,HICs
DEU,Germany,HICs
DNK,Denmark,HICs
ESP,Spain,HICs
EST,Estonia,HICs
EU27_2020,European Union (27 countries from 01/02/2020),Regional aggregate
FIN,Finland,HICs
FRA,France,HICs
GBR,United Kingdom,HICs
GRC,Greece,HICs
HRV,Croatia,HICs
HUN,Hungary,HICs
IDN,Indonesia,LMICs
IND,India,LMICs
IRL,Ireland,HICs
ISL,Iceland,HICs
ISR,Israel,HICs
ITA,Italy,HICs
JPN,Japan,HICs
KOR,Korea,HICs
LTU,Lithuania,HICs
LUX,Luxembourg,HICs
LVA,Latvia,HICs
MEX,Mexico,UMICs
MLT,Malta,HICs
NLD,Netherlands,HICs
NOR,Norway,HICs
NZL,New Zealand,HICs
PER,Peru,UMICs
POL,Poland,HICs
PRT,Portugal,HICs
ROU,Romania,HICs
RUS,Russia,UMICs
SAU,Saudi Arabia,HICs
SVK,Slovak Republic,HICs
SVN,Slovenia,HICs
SWE,Sweden,HICs
TUR,Turkey,UMICs
USA,United States,HICs
ZAF,South Africa,UMICs
