"","Name","Sector","Y_1970","Y_1971","Y_1972","Y_1973","Y_1974","Y_1975","Y_1976","Y_1977","Y_1978","Y_1979","Y_1980","Y_1981","Y_1982","Y_1983","Y_1984","Y_1985","Y_1986","Y_1987","Y_1988","Y_1989","Y_1990","Y_1991","Y_1992","Y_1993","Y_1994","Y_1995","Y_1996","Y_1997","Y_1998","Y_1999","Y_2000","Y_2001","Y_2002","Y_2003","Y_2004","Y_2005","Y_2006","Y_2007","Y_2008","Y_2009","Y_2010","Y_2011","Y_2012","Y_2013","Y_2014","Y_2015","Y_2016","Y_2017","Y_2018","Y_2019","Y_2020","Y_2021","Y_2022","Y_2023","Y_2024"
"1","Afghanistan","Buildings",16.553289424785,16.553289424785,14.9017436438,16.188001710734,19.07344620971,28.130781024112,25.973676610683,30.593185503379,27.413749074269,29.955115674739,41.370011292532,38.851621563928,37.342205554233,48.477655437943,45.47254030141,74.713945904055,111.33713395411,112.59077477963,108.97830864477,106.07483788793,171.89319891461,158.23994185785,96.635092515053,95.325138596083,88.809282001103,77.989160456774,73.068846719601,74.110675575217,71.397439318533,71.800170164342,28.329476376221,28.018168047015,23.807706589501,32.115089727472,28.97418351365,41.322771789479,48.604147714103,82.664892324885,177.81071888109,321.1154612908,414.30963516798,609.23979651388,538.67106146456,542.01015583975,488.89741210752,711.16887962943,569.20258893057,773.64767369241,1037.1111117389,1108.0706036377,1209.8081716071,1172.1450023457,1045.3326226506,1040.3919657988,1087.9791999444
"2","Afghanistan","Electricity & heat",57.098647225985,57.098647225985,117.18014524211,175.41219414779,207.39189819513,211.28167438041,241.61331765721,376.65293572314,274.53418968862,302.50104689852,311.73778207523,364.20044420728,362.26491645746,507.7917639123,459.88240175807,641.50441231651,672.85145370619,737.77093132712,681.16177441191,607.47366716648,600.91937731876,601.13915780625,338.79541906797,358.22867780626,311.97142564496,412.74179211428,428.72272191808,429.07994514596,511.01833268286,479.02102466157,355.12533837474,314.63014208546,292.51900310294,343.83442006158,306.49563401679,437.32542833161,484.51167813156,694.60757034415,1226.2316520452,1759.9445796375,2115.3233690407,2668.9681111571,2303.4497702178,2119.79814182,2183.5870347702,2358.7779664867,2343.2793244899,3050.0280446957,3280.6611462992,3277.4614949847,3097.5842991507,3028.3871303824,2743.0271494666,2819.4204752412,2909.9605312084
"3","Afghanistan","Industry",271.322124990097,262.808961099654,258.060713588282,281.664874231543,307.510729625649,311.233042575344,375.229874514954,405.358612010644,396.175175430928,399.780950229224,402.459436867998,483.289467594896,449.988450372904,481.478664499633,487.925226618515,664.979066159158,643.958540146907,667.66179699437,574.619425823773,547.102810804753,890.994904238735,863.138786087667,588.181908442711,538.017568892537,562.387915091424,481.575867753782,444.137023139082,422.443006882967,409.441836273823,406.262127546353,369.649795199571,301.587001757368,403.614737247365,346.600698143209,301.467904406538,377.066203225769,397.508830277719,768.087143989416,1150.25757533988,1602.11857429794,1956.22626210715,3676.38993455679,2953.083147703,2971.50805318543,3013.3205636815,2387.37087673754,2340.87472490515,3075.11397906441,2932.49736453687,3067.67401957384,2867.3304194284,3608.23199511831,3317.67368415156,3556.56972588096,3620.42029107522
"4","Afghanistan","Transport",193.26384730759,193.26384730759,203.787046911,199.4681368325,206.44813633754,230.7890039234,212.0922978981,230.14364819225,254.18370599554,268.64394907671,270.99364225824,314.69272212236,320.63945427739,423.50895222261,389.84194754702,445.01258263538,396.59349757889,452.58991090769,419.13956744816,403.54761412748,715.082319805494,702.901000768511,438.853561237819,441.562752774295,426.056856024065,311.91368236042,288.39422361632,269.30279621907,249.865608852,242.44690582915,135.83375068356,142.48850798541,118.20763415804,167.96149097494,142.01001130474,227.46394694233,306.13564494612,335.54841243856,936.11060963677,1793.7614921874,2429.7018340118,2942.2148295972,2948.9736106783,1988.8372068333,1431.5055786629,1929.0551813715,1354.1756826048,2079.8290456537,3060.2982097548,3382.9772889332,3702.3051105026,3740.3725499603,3335.7065663849,3319.940693259,3471.7938412198
"5","Albania","Buildings",46.37562223,46.37562223,77.29239934,108.20947843,123.66801438,123.66801438,154.58509347,185.50187777,185.50187777,216.41895686,247.33603595,262.7945719,278.25311504,293.7113562,247.33603595,170.04363661,170.04363661,173.13522157,185.50187777,213.83884886,305.7936463,362.50457612,282.12028984,168.59773377,159.54819417,245.8869219,340.41670934,333.90349934,241.15255686,732.61331723,750.20516509,781.2015534,1173.80950734,975.17913404,761.51474709,641.52375306,871.77235656,720.89018033,652.1744828,560.17392768,570.73146155,568.82853816,500.02671608,569.4023595,629.62539117,637.52384335,664.15923316,756.77852114,763.57734492,774.70778642,744.51869234,795.58225865,782.69884871,743.86500356128,755.69299682629
"6","Albania","Electricity & heat",698.30744922,698.30744922,743.38848513999,756.57355204,763.70174788,710.11866849999,722.09492548,718.04771452,798.51400936,839.95537995999,819.62770582,790.40476732,900.09440702,930.10271768001,975.59171569999,997.26376988001,1009.78364036,1009.78364036,1011.26367416,1000.90343756,525.74864868,332.87044158,186.656292,320.4265959,391.97835252,264.42964638,217.76556564,202.21109136,214.65460422,210.74328103,284.46112301,273.56691565,284.921458,173.44147116,167.99053896,143.10318042,143.10318042,90.21718458,0,6.22192284,15.55479936,31.10927364,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","Albania","Industry",1869.66027594939,1854.47421233246,2253.80223077473,1624.43998046682,1717.3805042862,1535.24055678662,1593.6493347769,1677.70199184038,2013.75036661501,2496.44636175689,3387.85219120713,2875.03309215415,2826.18899139413,3143.02150172397,3266.42704149157,3082.76544167903,3098.57492934659,3344.09581533837,3079.47436105284,3775.14472893815,2747.90192858712,1807.30335235691,918.395782373829,719.549846859362,658.303393044252,682.479509362752,634.347283505088,381.721270975495,514.927432504942,622.532456176169,589.937453256809,717.296765582508,620.419501450304,839.381557864444,881.105007870708,747.713986675905,964.233632520786,1050.32751064789,937.411371689707,1246.89412908581,1633.2940328575,1889.74694789842,1624.05935592225,1650.13230014122,1805.82933328128,1612.13519263423,1354.53601800671,1966.53583895068,2151.90212911397,1747.41604555988,2086.46037104689,2362.81653250062,1869.65424939398,1757.7346399211,1745.09987844994
"8","Albania","Transport",726.04518026999,726.04518026999,779.49378045001,787.09630161,827.38080021,858.4103175,1000.92987588,1035.11580075,1121.35336467,1261.79105235,1480.60801557,821.47045719,854.64878634,933.56532339,1320.08855688,1079.2018539,1012.11939846,1045.66048065,1152.38257767,957.23378460001,709.41752774999,536.69831307,409.34990175,507.29109707999,635.47958442,627.54704823,620.83735266,492.76305110999,739.40516028,1348.58161071,1408.47280041,1477.75631211,1647.78582285,1840.75687623,2191.4455143,2256.57951561,1796.71480446,1982.01392961,2137.9208802,2284.16843301,2215.12156851,2291.96504114,2204.50341868,2365.08444783,2371.42734114,2345.869466,2194.73880569,2201.72678998,2092.25558798,2072.95930628,1428.20285253,1638.07856643,1560.01997195,1425.7547448777,1449.19803460456
"9","Algeria","Buildings",1811.40133113,1811.40133113,2110.46581796,2509.71843051,2684.8785872,2966.46920171,3787.49397786,3798.40709442,4455.93294381,5160.85899578,5368.88345289,5841.34052695,6243.70831626,7040.67302797,7758.06425497,4868.51444421,5601.54219926,6013.96169452,6025.94815714,6763.69052782,6592.13698449,7541.67603081,7782.01687697,8229.94793415,8169.22038753,8091.83145963,8309.67100227,7978.46247172,8633.4356841,9090.866044,9327.88479725,9526.61161014,9890.79766139,10679.7095559,11515.52214534,12500.42127837,12193.45831187,13601.91005938,13574.63492898,13636.97861339,13395.86326638,14775.45252169,16948.03102819,18645.69403162,19415.61909386,21211.98159793,21481.02558019,22594.03370532,26526.00237346,27242.464214,27028.58642466,27146.75842143,29215.42540177,27562.072675833,26193.108665849
"10","Algeria","Electricity & heat",1646.11678665,1646.11678665,1550.49185082,1222.24793742,1465.50862278,2112.27095625,2531.35685745,2819.81152824,3299.71832079,3663.04801899,5124.959499,5312.96277576,6918.94932537,7857.05532633,8114.46537519,8595.71848833,10249.34755059,9439.93504863,10401.02100987,10394.65929792,10224.99877818,10594.44082671,11030.11562652,11528.45011218,12346.54497501,12547.52843286,12611.80202334,13349.00586912,14953.36085106,15606.63965661,15836.69575395,16622.08064646,17552.63165619,18783.91814466,19841.96360139,20655.92547666,22006.58929794,22331.346098731,24122.62535121,24673.20395193,25093.226650349,28128.71941374,30937.96422768,30102.76829868,32638.85432472,36784.21897659,36171.76883115,37738.76567328,38635.85918676,39443.224240561,38528.54464344,43537.02638571,46414.26789717,47821.458784603,44674.972964094
