"id","Module","cluster"
"ARG","Buildings",1
"AUS","Buildings",1
"AUT","Buildings",2
"BEL","Buildings",3
"BGR","Buildings",3
"BRA","Buildings",4
"CAN","Buildings",4
"CHE","Buildings",2
"CHL","Buildings",4
"CHN","Buildings",2
"COL","Buildings",1
"CRI","Buildings",3
"CZE","Buildings",3
"DEU","Buildings",3
"DNK","Buildings",3
"ESP","Buildings",1
"EST","Buildings",2
"EU27_2020","Buildings",2
"FIN","Buildings",2
"FRA","Buildings",2
"GBR","Buildings",2
"GRC","Buildings",1
"HRV","Buildings",3
"HUN","Buildings",3
"IDN","Buildings",1
"IND","Buildings",1
"IRL","Buildings",2
"ISL","Buildings",4
"ISR","Buildings",4
"ITA","Buildings",1
"JPN","Buildings",2
"KOR","Buildings",1
"LTU","Buildings",2
"LUX","Buildings",2
"LVA","Buildings",2
"MEX","Buildings",2
"MLT","Buildings",2
"NLD","Buildings",1
"NOR","Buildings",3
"NZL","Buildings",1
"PER","Buildings",1
"POL","Buildings",2
"PRT","Buildings",2
"ROU","Buildings",3
"RUS","Buildings",1
"SAU","Buildings",4
"SVK","Buildings",2
"SVN","Buildings",2
"SWE","Buildings",3
"TUR","Buildings",1
"USA","Buildings",4
"ZAF","Buildings",1
"ARG","Electricity",1
"AUS","Electricity",2
"AUT","Electricity",3
"BEL","Electricity",4
"BGR","Electricity",3
"BRA","Electricity",3
"CAN","Electricity",2
"CHE","Electricity",3
"CHL","Electricity",3
"CHN","Electricity",2
"COL","Electricity",3
"CRI","Electricity",3
"CZE","Electricity",2
"DEU","Electricity",2
"DNK","Electricity",2
"ESP","Electricity",2
"EST","Electricity",2
"EU27_2020","Electricity",2
"FIN","Electricity",3
"FRA","Electricity",2
"GBR","Electricity",2
"GRC","Electricity",2
"HRV","Electricity",3
"HUN","Electricity",2
"IDN","Electricity",1
"IND","Electricity",1
"IRL","Electricity",2
"ISL","Electricity",3
"ISR","Electricity",3
"ITA","Electricity",2
"JPN","Electricity",2
"KOR","Electricity",1
"LTU","Electricity",3
"LUX","Electricity",4
"LVA","Electricity",3
"MEX","Electricity",3
"MLT","Electricity",4
"NLD","Electricity",2
"NOR","Electricity",4
"NZL","Electricity",3
"PER","Electricity",3
"POL","Electricity",4
"PRT","Electricity",4
"ROU","Electricity",3
"RUS","Electricity",4
"SAU","Electricity",3
"SVK","Electricity",2
"SVN","Electricity",2
"SWE","Electricity",2
"TUR","Electricity",1
"USA","Electricity",3
"ZAF","Electricity",1
"ARG","Industry",1
"AUS","Industry",2
"AUT","Industry",3
"BEL","Industry",4
"BGR","Industry",4
"BRA","Industry",1
"CAN","Industry",2
"CHE","Industry",1
"CHL","Industry",2
"CHN","Industry",2
"COL","Industry",1
"CRI","Industry",2
"CZE","Industry",4
"DEU","Industry",4
"DNK","Industry",4
"ESP","Industry",3
"EST","Industry",4
"EU27_2020","Industry",4
"FIN","Industry",3
"FRA","Industry",4
"GBR","Industry",3
"GRC","Industry",4
"HRV","Industry",1
"HUN","Industry",4
"IDN","Industry",1
"IND","Industry",1
"IRL","Industry",3
"ISL","Industry",3
"ISR","Industry",2
"ITA","Industry",3
"JPN","Industry",1
"KOR","Industry",2
"LTU","Industry",4
"LUX","Industry",4
"LVA","Industry",4
"MEX","Industry",2
"MLT","Industry",4
"NLD","Industry",3
"NOR","Industry",4
"NZL","Industry",2
"PER","Industry",1
"POL","Industry",3
"PRT","Industry",4
"ROU","Industry",4
"RUS","Industry",1
"SAU","Industry",1
"SVK","Industry",3
"SVN","Industry",4
"SWE","Industry",4
"TUR","Industry",1
"USA","Industry",1
"ZAF","Industry",1
"ARG","Transport",1
"AUS","Transport",2
"AUT","Transport",2
"BEL","Transport",2
"BGR","Transport",1
"BRA","Transport",1
"CAN","Transport",1
"CHE","Transport",2
"CHL","Transport",1
"CHN","Transport",1
"COL","Transport",1
"CRI","Transport",1
"CZE","Transport",2
"DEU","Transport",3
"DNK","Transport",2
"ESP","Transport",2
"EST","Transport",4
"EU27_2020","Transport",3
"FIN","Transport",2
"FRA","Transport",3
"GBR","Transport",3
"GRC","Transport",4
"HRV","Transport",1
"HUN","Transport",4
"IDN","Transport",1
"IND","Transport",1
"IRL","Transport",3
"ISL","Transport",3
"ISR","Transport",1
"ITA","Transport",3
"JPN","Transport",3
"KOR","Transport",2
"LTU","Transport",2
"LUX","Transport",4
"LVA","Transport",1
"MEX","Transport",1
"MLT","Transport",3
"NLD","Transport",2
"NOR","Transport",4
"NZL","Transport",3
"PER","Transport",1
"POL","Transport",2
"PRT","Transport",3
"ROU","Transport",2
"RUS","Transport",3
"SAU","Transport",1
"SVK","Transport",4
"SVN","Transport",4
"SWE","Transport",3
"TUR","Transport",1
"USA","Transport",1
"ZAF","Transport",3
